,title
0,왕십리도선동노인복지센터노인복지
1,구립성수1가2동노인복지센터노인복지
2,성동구립사근동노인복지센터노인복지
3,"성동50플러스센터사회,복지"
4,다정노인복지센터재가노인요양센터
5,금호무지개노인복지센터재가노인요양센터
6,성동여성인력개발센터인력개발센터
7,성동건강복지센터지역복지센터
8,왕십리도선동노인복지센터 병설 데이케어센터재가노인요양센터
9,성동교육복지센터지역복지센터
10,로뎀복지센터노인복지
11,"성동구청년지원센터사회,복지"
12,성동근로자복지센터지역복지센터
13,성동지역아동복지센터아동복지시설
14,바라지 재가노인복지센터노인복지
15,성동노인복지센터노인복지
16,구립성수1가2동노인복지센터 대현분소노인복지
17,성수복지관아이꿈누리터아동복지시설
18,사랑재가노인복지센터재가노인요양센터
19,사랑드림재가복지센터재가노인요양센터
20,성수더효데이케어센터노인복지
21,돌보인방문요양센터 왕십리점재가노인요양센터
22,굿네이버스 좋은마음센터 서울성동사회복지단체
23,일우재가노인복지센터노인복지
24,성모주간보호센터장애인복지시설
25,구립뚝섬실버문화센터노인복지
26,왕십리성당데이케어센터노인복지
27,성동돌봄센터재가노인요양센터
28,성동느티나무장애인자립생활센터장애인복지시설
29,금호데이케어센터노인복지
30,꿈터지역아동센터아동복지시설
31,구립서울숲실버문화센터노인복지
32,성동희망푸드나눔센터사회복지단체
33,"서울시사회서비스원 성동종합재가센터사회,복지"
34,아리아케어 방문요양 성동 행당센터노인복지
35,우리동네키움센터 성동4호점아동복지시설
36,서울성동지역자활센터자활후견기관
37,서울금융복지상담센터 성동센터지역복지센터
38,사단법인 성동구자원봉사센터자원봉사센터
39,성수문화복지회관종합사회복지관
40,참조은방문요양센터재가노인요양센터
41,송정요양원재가노인요양센터
42,옥수노인간호센터 실버빌노인복지
43,드림방문요양센터노인복지
44,서울숲아이꿈누리터아동복지시설
45,한마음효실버센터노인복지
46,성모보호작업장장애인복지시설
47,사회적협동조합 성동돌봄장애인복지시설
48,스위첸아이꿈누리터아동복지시설
49,선재누리가정복지시설
50,성동10호점 금호대우아이꿈누리터아동복지시설
51,꽃재아이꿈누리터아동복지시설
52,성동장애인종합복지관 성동보호작업장장애인복지시설
53,성동복지관아이꿈누리터아동복지시설
54,왕십리도선동 아이꿈누리터아동복지시설
55,한국치매예방강사협회노인복지
56,마장아이꿈누리터아동복지시설
57,성수쌍용아이꿈누리터아동복지시설
58,비지팅엔젤스 성동지점노인복지
59,두빛나래보호작업장장애인복지시설
60,어르신 공경 효심원재가노인요양센터
61,옥수제1노인정노인복지
62,대한노인회성삼경로당노인복지
63,행당2동 주민센터행정복지센터
64,금호삼성래미안라파트경로당노인복지
65,행당두산위브제2경로당노인복지
66,행당제1경로당노인복지
67,성수2가1동주민센터행정복지센터
68,성수1가2동 주민센터행정복지센터
69,왕십리제2동주민센터행정복지센터
70,성수2가3동주민센터행정복지센터
71,왕십리도선동 주민센터행정복지센터
72,마장제4노인정노인복지
73,응봉2차대림APT노인정노인복지
74,창붕노인정노인복지
75,서울숲푸르지오경로당노인복지
76,서마경로당노인복지
77,용답중앙하이츠노인정노인복지
78,새말경로당노인복지
79,성수1차대우아파트경로당노인복지
80,중구교육지원센터청소년시설
81,"동대문구가족센터사회,복지"
82,"동부여성문화센터여성,모자,부자복지시설"
83,중구종합복지센터지역복지센터
84,광진주거복지센터지역복지센터
85,바드림노인복지센터노인복지
86,더클래식500노인복지
87,"전국협동조합복지센터사회,복지"
88,광진재가복지센터노인복지
89,동대문교육복지센터청소년시설
90,정다운복지센터노인복지
91,중구주거안심종합센터 주거상담소지역복지센터
92,광진구 노동복지센터지역복지센터
93,가나안재가요양복지센터재가노인요양센터
94,"서울중구가족센터사회,복지"
95,안토재가복지센터재가노인요양센터
96,예담주야간보호센터재가노인요양센터
97,신당데이케어센터노인복지
98,행복드림복지센터재가노인요양센터
99,케어유방문요양복지센터재가노인요양센터
100,소망노인복지센터노인복지
101,더행복드림복지센터노인복지
102,중구진로직업체험지원센터청소년시설
103,찾아가는재가돌봄노인복지센터재가노인요양센터
104,미소천사재가노인복지센터재가노인요양센터
105,희망노인복지센터노인복지
106,오순도순재가복지센터노인복지
107,삼성재가복지센터노인복지
108,새날지역아동센터아동복지시설
109,한국이주여성인권센터여성단체
110,신당종합사회복지관종합사회복지관
111,가장행복한재가복지센터재가노인요양센터
112,사랑재가복지센터재가노인요양센터
113,돌봄재가복지센터노인복지
114,우리동네키움센터 동대문구4호점아동복지시설
115,서보재가복지센터재가노인요양센터
116,인애노인복지센터노인복지
117,서울해바라기센터아동복지시설
118,포도나무복지센터재가노인요양센터
119,가온애 효돌봄 재가복지센터재가노인요양센터
